entry_id,msn_headword,ehn_spoken_form,part_of_speech,gloss_en,gloss_es,authoring_domain,use_status,source_confidence,review_note
kw::ahqui::1,ahki,ahqui,verb,to swim.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ahsi::2,ahsi,ahsi,verb,to arrive.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::aqui::1,aki,aqui,verb,to be (negative).,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::cholohua::1,cholowa,cholohua,verb,to flee.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::eli::1,eli,eli,verb,to be.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::eltoc::1,eltok,eltoc,verb,to be.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ehua::3,ewa,ehua,verb,to be from.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::firmaroa::1,firmaroa,firmaroa,verb,to sign,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::iztlacati::2,istlakati,iztlacati,verb,to lie.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::calaqui::2,kalaki,calaqui,verb,to enter.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::camanalohua::1,kamanalowa,camanalohua,verb,to speak.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::camati::1,kamati,camati,verb,to speak.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::cahuatlehco::1,kawatlehko,cahuatlehco,verb,to ride a horse.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::conepiya::1,konepiya,conepiya,verb,to have a child.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::maneharoa::1,maneharoa,maneharoa,verb,To drive,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::mati::4,mati,mati,verb,to know,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::miqui::3,miki,miqui,verb,to die.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::mitoniya::1,mitoniya,mitoniya,verb,to sweat.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::mococohua::1,mokokowa,mococohua,verb,to be sick.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::nehnemi::2,nehnemi,nehnemi,verb,to walk.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::onca::1,onka,onca,verb,there is.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::piya::1,piya,piya,verb,to have.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::tepaht-a::1,tepahtía,tepahtía,verb,to cure.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::tici::1,tisi,tici,verb,to grind.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::tlahcuilohua::1,tlahkuilowa,tlahcuilohua,verb,to write.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::tlahtohua::1,tlahtowa,tlahtohua,verb,"to speak, talk.",,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::tlacua::2,tlakua,tlacua,verb,to eat.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::tlamacht-a::1,tlamachtía,tlamachtía,verb,to teach.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::tlanahuat-a::2,tlanawatía,tlanahuatía,verb,to send.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::tlatoniya::1,tlatoniya,tlatoniya,verb,to be hot.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::tlaxahua::1,tlaxawa,tlaxahua,verb,to dig.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
